Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Verde,CPV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,10.94140812,10.94287059,10.35845542,11.68515154,11.19205371,12.41721953,9.842107876,10.05468423,10.68788449,14.50757247,16.65274066,17.84109861,21.1674634,21.03941266,18.75264557,18.76459463,18.27332647,18.11102123,17.77464222,16.50915524,15.58028534,11.27382725,12.76953861,14.04619864,13.04853301,14.59960373,16.30140608,16.92923134,17.38631314,17.02833315,17.6190569,17.53906009,17.18728965,15.41094741,15.73913182,14.96695003,14.31986085,14.50955939,14.71017893,14.55190802,14.39198693,14.76653857,13.98905819,14.20870973,,,,,
Caribbean small states,CSS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.233136342,0.230949565,0.153257808,0.194110669,0.225179848,0.188835736,0.177012741,0.165466048,0.159795668,0.169003511,0.168326523,0.182060958,0.206766324,0.189884737,0.189280502,0.182376209,0.157954764,0.118548338,0.143073098,0.057914525,0.073990913,0.070113113,0.067220147,0.073139486,0.078515923,0.073273446,0.082243241,0.076801908,0.069532873,0.617826404,0.558166994,0.559793483,0.473165964,0.455988732,0.373879585,0.41938434,0.438395947,0.511845852,0.513166317,0.453364811,0.452777725,0.496371666,0.499670832,0.523750543,,,,,
Cuba,CUB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.090201246,0.063019154,0.049433888,0.06699771,0.046196851,0.037012856,0.046882325,0.050309224,0.061479968,0.056974729,0.035040029,0.024777196,0.034448208,0.039120994,0.030364785,0.033291272,0.02381522,0.037617024,0.038506751,0.0357546,0.049139616,0.043029424,0.050509834,0.028910779,0.042951458,0.050972794,0.067985438,0.054628168,0.056828436,0.046911045,0.040584794,0.061525928,0.075016648,0.052653338,0.043174077,0.059601709,0.081892797,0.093442636,0.096403977,0.060215134,0.070109879,0.076033733,0.091741034,0.085396664,,,,,
Curacao,CUW,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.828831173,1.70187317,1.791186069,1.717058963,1.753735137,1.660601909,1.627586337,1.642397072,1.549517882,1.812753418,1.864298868,1.878223275,2.218722339,2.226072555,2.469914353,2.864771455,3.521215407,4.229909056,5.285149051,5.226961887,,,,,
Czech Republic,CZE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.228907616,0.238767737,0.20586291,0.373364816,0.357117775,0.276694632,0.352087451,0.34687759,0.407389602,0.439344719,0.376699298,0.300492343,0.405354817,0.88722177,1.560198294,3.523679493,5.825359254,6.455807218,6.878668576,6.782362918,7.216661468,7.545964248,8.063493348,8.579074512,8.081060845,8.190492213,7.911476972,8.549988531,9.35899461,9.032521413,9.571058512,11.97218841,15.50635098,15.55191679,14.86960408,15.31430273,15.32108252,15.94425369,17.52323837,17.32153003,18.44054659,19.93849845,20.7795241,20.84884885,18.95657256,,,,
Germany,DEU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.727909596,0.704903188,0.640189515,0.573368196,0.555567443,0.69581368,0.780971719,0.890132467,0.910924641,1.117958624,1.060201023,0.910363488,1.144067821,1.334025615,1.609518108,2.474248154,2.629479079,3.618264774,3.716177037,4.140752239,4.517432746,5.455636747,6.338666172,6.599398506,8.333852473,10.5571291,10.00772692,10.79825747,11.80780512,12.32681144,11.83498685,11.60940793,12.75903987,12.48946532,12.40637248,12.51981617,12.64077653,13.46289819,12.92760272,13.98918338,14.01752185,13.85772891,13.89198545,13.95401935,14.22954085,14.15924221,14.27710286,13.45919164,13.91980213,13.85046125,13.9437343,12.5713553,12.28452302,12.20876666,12.98204848,12.86361986,,,,
Djibouti,DJI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
